,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
124397,gdb_124398,CC(C#C)C1=NNC=C1,3.30981,1.14705,0.96934,2.2369,79.54,-0.2437,0.0195,0.2631,1233.9156,0.136405,-380.861481,-380.852852,-380.851908,-380.895639,32.047
72962,gdb_72963,CC12CNC1C2(N)C#N,2.60547,1.52767,1.20265,4.366,77.25,-0.228,0.0205,0.2485,1076.6926,0.147978,-398.086675,-398.077788,-398.076844,-398.119732,33.547
79342,gdb_79343,CC1C2CC3N1C3(C)C2,2.98966,1.53892,1.41504,1.4577,84.71,-0.2307,0.0913,0.3221,1063.6849,0.196754,-367.227189,-367.219325,-367.218381,-367.258877,32.449
42234,gdb_42235,N=C1CC(O1)C(=O)C#N,4.37124,0.98757,0.87885,1.9934,66.02,-0.2908,-0.1053,0.1855,1241.9549,0.087998,-452.750191,-452.742044,-452.7411,-452.784275,28.185
12463,gdb_12464,N=C1OCOCC=C1,3.75108,1.98123,1.36756,3.1718,67.17,-0.2488,-0.0352,0.2136,868.6869,0.120979,-399.804128,-399.797389,-399.796445,-399.835282,25.3
129652,gdb_129653,c1(c([nH]nnc1=O)N)N,2.38857,1.92697,1.07181,7.5802,71.0,-0.2089,-0.0492,0.1597,1026.8764,0.10277,-466.179502,-466.171551,-466.170607,-466.211705,30.057
58980,gdb_58981,CN(C)C1=CC(=O)NC1,3.73518,1.05641,0.83875,6.2795,82.77,-0.2052,0.0041,0.2093,1359.2144,0.15971,-419.25215,-419.242778,-419.241834,-419.286435,33.822
67389,gdb_67390,CC12C3N1CC2NC3=O,3.00669,1.56886,1.43285,4.0847,72.35,-0.2413,0.0061,0.2474,974.2309,0.137881,-418.003133,-417.995898,-417.994954,-418.034537,28.775
59558,gdb_59559,CC(C)C1OC2CC1C2,3.17481,1.23076,1.06978,1.4959,85.26,-0.2346,0.0894,0.3239,1253.1307,0.206739,-388.279194,-388.270542,-388.269598,-388.312324,34.466
42296,gdb_42297,C1CN(C1=O)C(=O)C#N,2.69513,1.4915,0.972,5.7582,66.84,-0.2908,-0.0859,0.2049,1112.3815,0.088889,-452.793086,-452.784992,-452.784048,-452.826628,27.841
62404,gdb_62405,CC1(C#C)C2CN2C1=O,2.45559,1.51243,1.38171,3.6937,75.08,-0.2441,-0.0221,0.222,1023.5357,0.122092,-400.690357,-400.681835,-400.680891,-400.723239,31.963
74876,gdb_74877,CC1=CC2NC2C2NC12,2.75087,1.69454,1.2087,2.4892,81.88,-0.2263,0.0147,0.241,1065.05,0.161915,-382.029607,-382.022082,-382.021138,-382.061311,30.379
101587,gdb_101588,CCC(O)CC(=O)OC,4.00159,0.74466,0.7097,2.5501,76.36,-0.2652,0.0159,0.2811,1699.6267,0.179557,-461.401517,-461.390408,-461.389464,-461.439397,38.221
63348,gdb_63349,CC1(O)CC(=O)OC1=N,2.60553,1.48512,1.18129,1.6471,66.06,-0.2801,-0.0217,0.2583,1060.1283,0.123258,-475.082786,-475.074405,-475.073461,-475.115899,31.538
101352,gdb_101353,COC1CC1C(O)CO,2.69293,0.99308,0.81679,3.0014,75.87,-0.2457,0.0578,0.3036,1457.879,0.180729,-461.325587,-461.315487,-461.314543,-461.360733,37.201
53962,gdb_53963,CC(=O)C(C)(C)CC#C,3.02116,1.0323,0.93492,2.4916,84.41,-0.2429,-0.0145,0.2284,1354.5248,0.177609,-387.086927,-387.075942,-387.074998,-387.122843,40.188
45045,gdb_45046,O=C1CC2CC2C11CN1,2.55176,1.81207,1.24786,2.2237,76.1,-0.2458,-0.0293,0.2165,1019.8127,0.149282,-401.944014,-401.936555,-401.935611,-401.976015,29.579
43880,gdb_43881,O=C1CC2(CC3OC23)C1,4.48342,1.08981,1.03356,2.9567,72.18,-0.2449,-0.0241,0.2208,1159.3617,0.134377,-421.788988,-421.78136,-421.780416,-421.821774,29.544
112155,gdb_112156,CCC1CC(=O)C(C)=C1,3.02456,1.04699,0.82527,3.2971,87.04,-0.2333,-0.0374,0.1959,1451.0664,0.181734,-387.14651,-387.136824,-387.13588,-387.181725,35.278
12521,gdb_12522,CC1C=CCCC=C1,3.04823,1.88281,1.31862,0.0403,82.63,-0.2324,0.0243,0.2568,1000.6441,0.178856,-311.88017,-311.872259,-311.871315,-311.91289,30.406
124521,gdb_124522,Cc1nc(on1)C(C)C,4.04995,0.96607,0.94595,1.6266,78.05,-0.2736,-0.0112,0.2624,1369.0652,0.158438,-419.237439,-419.228059,-419.227115,-419.272394,33.549
37437,gdb_37438,C1OC2C=CC1C1NC21,2.64788,2.0155,1.98916,2.6974,73.76,-0.2319,0.0088,0.2407,839.8467,0.151854,-401.91595,-401.909808,-401.908864,-401.94592,26.891
64419,gdb_64420,CC1(O)CCCC2NC12,2.35767,1.62411,1.27805,0.3133,81.16,-0.2412,0.0738,0.315,1106.4201,0.195764,-404.346674,-404.338014,-404.33707,-404.379223,35.064
88099,gdb_88100,CC1CC11CCC=C1C,2.33514,1.44915,1.05785,0.2604,93.01,-0.2095,0.0356,0.245,1261.786,0.205865,-351.170614,-351.161255,-351.160311,-351.20438,36.25
131007,gdb_131008,c1c(nnn1C=O)C#N,7.52542,0.9098,0.81167,5.0014,67.93,-0.3011,-0.1004,0.2007,1257.4512,0.066301,-447.739546,-447.732386,-447.731442,-447.771725,24.884
87462,gdb_87463,CN1CC11C2CC1(O)C2,2.78625,1.41907,1.29442,1.6014,80.11,-0.2248,0.082,0.3068,1095.3627,0.170351,-403.061819,-403.053377,-403.052433,-403.094358,33.387
3331,gdb_3332,C1C=CCC2OC12,4.08064,3.38703,2.16466,1.7753,61.3,-0.2427,0.027,0.2697,629.5675,0.127096,-308.516378,-308.510652,-308.509708,-308.545741,22.342
60050,gdb_60051,CC(O)CC1(C)CN1C,2.56908,0.99736,0.9,1.9685,86.3,-0.2191,0.0643,0.2833,1474.04,0.21423,-405.522481,-405.511357,-405.510412,-405.558654,41.096
11289,gdb_11290,CC1COC(C1)C#N,3.91573,1.43944,1.27322,4.3531,68.01,-0.2751,0.0217,0.2968,1002.3199,0.143025,-363.884956,-363.877071,-363.876126,-363.91771,28.491
27296,gdb_27297,Cc1cc(=O)c(c[nH]1)N,3.25812,1.32618,0.94906,5.9383,82.22,-0.1856,-0.0059,0.1797,1204.7378,0.137786,-418.078636,-418.0702,-418.069256,-418.111475,32.393
30526,gdb_30527,NC=[NH+]C1=C([O-])C=CO1,3.48655,1.09004,0.8314,6.2348,92.35,-0.1532,-0.0363,0.1168,1306.7743,0.112977,-453.934267,-453.925916,-453.924972,-453.967677,30.595
39344,gdb_39345,C1CC23OC2COC3O1,2.81773,1.90269,1.39606,2.7698,66.78,-0.2624,0.0746,0.3371,932.8839,0.137854,-458.948593,-458.941655,-458.940711,-458.980147,27.023
24405,gdb_24406,c1nc2c(o1)OCC=C2,3.77971,1.69929,1.19242,1.6916,69.94,-0.1977,-0.0185,0.1792,953.934,0.103756,-436.713343,-436.70697,-436.706026,-436.74417,24.813
20439,gdb_20440,c1c2n(nn1)CCN2,5.04359,2.15186,1.55032,5.8404,62.98,-0.2157,0.0149,0.2306,768.3502,0.111853,-374.891656,-374.885808,-374.884864,-374.921607,22.346
111872,gdb_111873,CCC1C2OCCOC12,2.72759,1.28452,1.18075,0.8039,78.48,-0.225,0.0757,0.3006,1188.9645,0.183244,-424.198655,-424.189872,-424.188928,-424.232999,32.872
74823,gdb_74824,NC1=NC2CC2(N1)C#N,3.58161,1.28264,1.06744,4.2082,72.78,-0.2364,0.0069,0.2433,1095.9575,0.114897,-413.003391,-412.995807,-412.994863,-413.035229,29.639
122213,gdb_122214,CCCCC1(CC1)CO,2.51873,0.79557,0.68283,1.2768,89.83,-0.2599,0.0729,0.3328,1803.2993,0.227331,-389.482438,-389.471312,-389.470368,-389.519713,40.488
14466,gdb_14467,OC12CC3CC1C2O3,3.84653,2.1624,2.12511,0.7075,62.07,-0.2197,0.0746,0.2942,723.076,0.132846,-383.729384,-383.723467,-383.722523,-383.758939,24.947
124367,gdb_124368,CC(=O)Nc1n[nH]nn1,5.19862,1.00335,0.84548,5.1263,66.13,-0.2534,-0.0295,0.2238,1281.0172,0.101746,-466.198756,-466.190516,-466.189571,-466.23374,28.164
71952,gdb_71953,CC12CC3CC(O1)C2C3,2.80929,1.84402,1.62673,1.6593,80.29,-0.23,0.0889,0.3189,951.4364,0.185797,-387.110555,-387.10361,-387.102666,-387.141282,29.967
129743,gdb_129744,c1c(c(on1)N)OC=O,3.41454,1.12954,0.88503,2.3421,62.67,-0.2324,-0.0178,0.2147,1206.9332,0.08858,-489.884132,-489.876115,-489.875171,-489.917717,28.338
102150,gdb_102151,CNC(CC#N)C(N)=O,2.41032,1.13821,0.80592,4.8654,73.4,-0.2402,0.0139,0.2541,1375.413,0.147216,-435.306936,-435.296873,-435.295929,-435.34295,35.511
41941,gdb_41942,C1OCC2C=CCOC12,3.31917,1.47699,1.07971,2.1466,76.4,-0.2446,0.0109,0.2555,1104.1433,0.162063,-423.020756,-423.013415,-423.012471,-423.052575,28.912
100309,gdb_100310,CCC(C)(CO)C1CO1,2.21594,1.29136,1.11322,2.831,80.91,-0.2546,0.0752,0.3298,1262.5661,0.204119,-425.405631,-425.395312,-425.394368,-425.440712,38.718
291,gdb_292,CC(C)C(C)O,4.47958,2.66966,2.28942,1.414,59.83,-0.2613,0.0684,0.3297,675.0478,0.164151,-272.843742,-272.8356,-272.834656,-272.875156,29.475
89019,gdb_89020,CC1CC1[NH2+]CC([O-])=O,3.33663,0.89236,0.85853,5.2484,75.66,-0.2465,0.0211,0.2676,1437.6025,0.170748,-440.301198,-440.29172,-440.290776,-440.336597,34.607
25576,gdb_25577,c1c(ocn1)OCC=O,7.20172,0.74998,0.69711,0.5883,64.96,-0.2368,-0.0451,0.1917,1500.5698,0.099543,-473.837884,-473.82966,-473.828716,-473.873132,27.59
116535,gdb_116536,CCN=C(C)NC(=O)N,3.95325,0.74625,0.66189,2.1141,83.79,-0.2347,0.0116,0.2463,1731.2782,0.169666,-436.52182,-436.511078,-436.510134,-436.559517,37.852
45233,gdb_45234,O=C1CC2CC3CN2C13,3.25619,1.70169,1.5262,2.932,74.41,-0.2384,-0.0235,0.2149,920.2025,0.151417,-401.942793,-401.936521,-401.935576,-401.973268,26.587
101806,gdb_101807,[NH3+]CC(O)CCC([O-])=O,4.68765,0.62482,0.56773,22.9605,86.34,-0.1287,-0.0499,0.0787,1883.8126,0.169633,-477.353919,-477.343626,-477.342682,-477.390913,36.502
91180,gdb_91181,CC1CC2C=CCC12O,2.23367,1.57419,1.43952,1.3631,82.6,-0.2351,0.027,0.2621,1076.2901,0.182805,-387.094396,-387.085822,-387.084878,-387.127647,33.953
28905,gdb_28906,Cc1ccnc(c1O)C,2.36306,1.7739,1.02615,1.5565,82.88,-0.223,-0.0099,0.2131,1150.6068,0.147875,-402.026254,-402.017535,-402.016591,-402.059376,32.736
86927,gdb_86928,OC1CC(NC=O)C1=O,3.9866,0.91298,0.80086,1.7875,68.36,-0.257,-0.0423,0.2147,1374.3718,0.122802,-475.043579,-475.034509,-475.033565,-475.078555,31.806
47109,gdb_47110,O=C1OCC2CCCN12,2.70379,1.77819,1.21904,4.9982,70.85,-0.2518,0.0532,0.305,1022.3872,0.151779,-439.151003,-439.143775,-439.142831,-439.183096,27.619
55457,gdb_55458,CC(=O)C1COCCO1,3.23255,1.18715,0.92595,2.829,72.35,-0.2413,-0.0184,0.223,1262.53,0.158542,-460.176717,-460.167898,-460.166954,-460.211287,32.37
132087,gdb_132088,CC1=C(F)C=NC(=N)N1,3.01868,1.41066,0.96719,3.7078,74.77,-0.2034,-0.0564,0.147,1133.3447,0.113187,-458.132629,-458.124686,-458.123742,-458.16543,29.464
41992,gdb_41993,C1CC2COCC=C2C1,3.31126,1.37701,1.03438,1.5119,84.75,-0.2306,0.0216,0.2522,1185.7191,0.18593,-387.114896,-387.107252,-387.106308,-387.147007,30.634
58702,gdb_58703,CC(O)C1(CCC1)C#C,1.94003,1.49519,1.2124,1.2629,84.28,-0.2545,0.0427,0.2971,1187.0763,0.18039,-387.049763,-387.039912,-387.038968,-387.083977,37.676
108637,gdb_108638,CCC1=C(C)CC(O)C1,2.22685,1.2255,0.91202,1.8333,89.31,-0.2251,0.0279,0.2531,1400.4395,0.204985,-388.31962,-388.309533,-388.308589,-388.354699,37.827
27598,gdb_27599,c1nc(nc(n1)N)C#N,3.76854,1.30394,0.96874,5.66,69.95,-0.2778,-0.0833,0.1946,1097.4178,0.080412,-427.922255,-427.914965,-427.914021,-427.954205,26.277
17614,gdb_17615,CC(O)C(=O)C1CO1,3.34865,1.62011,1.24401,2.6976,61.4,-0.2655,-0.0436,0.2219,972.7405,0.128344,-420.864202,-420.855924,-420.85498,-420.897128,29.891
46373,gdb_46374,N=C1OCC1CC1CN1,3.41338,1.08348,0.88541,3.3794,76.66,-0.2309,0.0191,0.25,1312.697,0.160785,-419.175022,-419.166641,-419.165697,-419.208619,31.23
79852,gdb_79853,CC1C2C3OCC2(C)C13,2.74037,1.66741,1.20899,1.6607,82.16,-0.2336,0.0888,0.3224,1096.783,0.183295,-387.054084,-387.046091,-387.045147,-387.086008,32.326
2440,gdb_2441,C1C2CC1CCC2,3.77076,3.17461,2.47627,0.0753,69.67,-0.2736,0.0815,0.3551,661.041,0.175932,-273.787799,-273.781987,-273.781043,-273.816951,24.312
10822,gdb_10823,CC1CCC(=N)OC1,4.42808,1.47768,1.1787,3.2934,73.22,-0.2532,0.023,0.2762,1042.3081,0.167251,-365.092711,-365.084902,-365.083958,-365.124786,29.722
66568,gdb_66569,CC12CC3C4C(C13)C24O,2.28694,2.21778,1.59122,1.163,77.92,-0.2329,0.0717,0.3046,927.4756,0.159232,-385.817374,-385.809913,-385.808969,-385.848574,31.025
26875,gdb_26876,Cc1c(cnc(=O)[nH]1)O,3.04024,1.42631,0.97676,5.7279,73.3,-0.2123,-0.0571,0.1552,1131.3781,0.112779,-454.011902,-454.00345,-454.002506,-454.045871,30.32
49941,gdb_49942,N=CN1CC1(C#C)C#C,2.57625,1.32717,1.00708,1.5426,82.11,-0.2444,-0.0082,0.2363,1176.3377,0.10939,-379.563007,-379.553972,-379.553028,-379.596711,33.307
124711,gdb_124712,CC(N)=[NH+]C1=CN=N[N-]1,5.08254,1.03727,0.86612,11.5568,80.56,-0.2019,-0.0398,0.162,1280.1724,0.125065,-430.242363,-430.234241,-430.233297,-430.275629,29.755
110771,gdb_110772,CCC1C2CC(=O)CN12,2.5998,1.27636,1.13739,2.1675,78.13,-0.2246,-0.0227,0.2019,1191.6648,0.171071,-403.152936,-403.144372,-403.143428,-403.186591,32.582
23061,gdb_23062,CC(=NO)C12CC1CO2,3.5722,1.14395,0.9571,1.5231,77.35,-0.2246,-0.0061,0.2185,1237.9281,0.145673,-439.00263,-438.993731,-438.992787,-439.036738,33.019
142,gdb_143,N#CC1CN1,17.10357,3.50921,3.35299,2.8377,40.21,-0.2775,0.0076,0.2851,386.5557,0.069125,-226.107205,-226.102575,-226.10163,-226.134578,15.572
126854,gdb_126855,CCN1N=NC=CC1=O,2.85854,1.55904,1.09459,0.2761,74.53,-0.2557,-0.0774,0.1783,1086.5541,0.125287,-434.078528,-434.070671,-434.069726,-434.111304,29.018
31800,gdb_31801,CCc1ccc(cc1)C,4.34999,0.93565,0.83164,0.078,94.87,-0.2266,0.0058,0.2324,1481.1099,0.183415,-350.040171,-350.030899,-350.029955,-350.07597,34.108
128552,gdb_128553,COc1cnn2c1CC2,3.94988,1.2395,0.96075,1.8144,77.44,-0.2022,0.0322,0.2345,1208.4032,0.137797,-417.972119,-417.964195,-417.963251,-418.0053,28.873
28643,gdb_28644,Cc1cnc(cn1)C#C,5.87019,1.02606,0.87813,0.7305,87.75,-0.2476,-0.0594,0.1882,1271.9583,0.112625,-379.69383,-379.685771,-379.684827,-379.726924,29.536
29107,gdb_29108,c1c([nH]c(=O)c(=O)o1)N,3.10496,1.46463,0.998,7.2195,64.82,-0.222,-0.0544,0.1675,1080.7766,0.090065,-489.937352,-489.929675,-489.928731,-489.969667,28.656
80019,gdb_80020,CC1C2C=CC1C2(C)O,2.76026,1.6077,1.28339,1.3368,82.76,-0.2361,0.0013,0.2374,1076.2167,0.18235,-387.062837,-387.054416,-387.053471,-387.094958,34.603
37717,gdb_37718,C1N2C3C4OC=NC13C24,3.81221,2.05849,1.59349,0.7703,67.37,-0.2359,-0.0014,0.2344,807.1702,0.115653,-416.702898,-416.697342,-416.696397,-416.732503,23.642
91401,gdb_91402,CC1CC2CC(O1)C=C2,2.89671,1.57614,1.39924,1.3346,81.89,-0.2386,0.0078,0.2464,1040.3043,0.185579,-387.106608,-387.099177,-387.098233,-387.137951,31.093
8021,gdb_8022,CC12COC1C(=N)O2,3.40415,2.13917,1.59512,3.5145,62.67,-0.2595,0.0036,0.2631,819.7325,0.118617,-399.771385,-399.764411,-399.763467,-399.802424,26.34
34408,gdb_34409,N#CC12CCCC1CO2,2.725,1.52014,1.28533,4.6281,75.36,-0.2745,0.0084,0.283,1043.2433,0.149674,-401.963282,-401.955664,-401.95472,-401.995387,29.509
46600,gdb_46601,O=C1OCC23CC12NC3,2.83518,1.81569,1.452,5.1041,67.62,-0.2412,0.0039,0.2451,918.7751,0.126667,-437.859734,-437.852915,-437.851971,-437.890845,27.036
98414,gdb_98415,CN1CC1(C)C(=O)CO,2.77226,1.11583,0.91859,4.0395,76.91,-0.2428,-0.0255,0.2173,1338.3925,0.167831,-440.270995,-440.26086,-440.259916,-440.306126,36.784
76544,gdb_76545,CC1C(C)C11COC1C,2.40465,1.21721,1.09959,1.899,86.0,-0.2364,0.0751,0.3115,1294.4298,0.203888,-388.268111,-388.257951,-388.257007,-388.302984,37.581
26487,gdb_26488,CC1(CO1)C1=NC=CO1,3.71202,1.32109,1.07395,2.2248,71.11,-0.2432,-0.0097,0.2335,1107.6716,0.124294,-437.896647,-437.88883,-437.887886,-437.929746,28.91
94614,gdb_94615,CC1OCC1CC1CC1,3.38278,0.89078,0.77917,1.8499,85.52,-0.238,0.087,0.325,1553.3397,0.205513,-388.261424,-388.251817,-388.250873,-388.297038,35.542
102082,gdb_102083,OCC(C=O)C(O)C=O,2.26412,1.14584,0.83229,1.9215,65.73,-0.2571,-0.0418,0.2153,1341.3597,0.132197,-496.1025,-496.092561,-496.091617,-496.138089,34.506
111490,gdb_111491,CC1CC2NC2C1CO,2.41143,1.4647,1.04962,1.2995,80.97,-0.2354,0.0722,0.3076,1207.6579,0.195545,-404.327437,-404.318378,-404.317434,-404.361334,34.931
2109,gdb_2110,C1CCC(CC1)O,4.27689,2.22425,1.60383,1.4344,66.9,-0.2575,0.0809,0.3384,810.0618,0.174115,-310.945132,-310.93822,-310.937276,-310.975523,27.4
252,gdb_253,CC(O)CC#N,8.13877,2.09686,1.78822,4.9064,50.45,-0.2866,0.0348,0.3214,674.7315,0.106844,-286.508374,-286.501342,-286.500397,-286.539045,24.229
11904,gdb_11905,OC1CC2(CC2)C=C1,4.26847,1.53729,1.37336,1.7612,74.39,-0.2336,0.0123,0.246,955.6683,0.154646,-347.799774,-347.792346,-347.791402,-347.83156,29.187
78123,gdb_78124,CC1C2N1C(C#C)C2=O,2.82854,1.34508,1.10848,2.542,76.97,-0.2434,-0.0334,0.21,1126.8917,0.122076,-400.67833,-400.669881,-400.668937,-400.71141,31.624
9657,gdb_9658,OCC1CC1(O)C#N,3.50778,1.39847,1.31223,3.8849,62.44,-0.2753,0.0052,0.2805,975.7959,0.117733,-399.785524,-399.777257,-399.776313,-399.818312,29.996
64751,gdb_64752,OC1(CC#C)CNC1=O,2.73174,1.31022,1.11472,2.8519,70.95,-0.2376,0.0215,0.2591,1121.5376,0.122039,-437.865663,-437.856505,-437.85556,-437.899727,33.403
98121,gdb_98122,CCC(=O)C(=O)OC=N,4.71925,0.80536,0.69376,2.8437,69.98,-0.2627,-0.0876,0.1752,1582.1888,0.120835,-475.06435,-475.054453,-475.053509,-475.101055,32.976
123419,gdb_123420,c1ncn(n1)CC2CC2,4.88308,0.97069,0.88269,3.2631,76.99,-0.2585,0.0112,0.2698,1325.7867,0.150552,-398.139465,-398.131627,-398.130683,-398.1732,28.787
107554,gdb_107555,CC1=CCC2OC12CO,2.50069,1.60377,1.11272,1.803,76.62,-0.2362,0.0094,0.2455,1123.4806,0.158569,-423.019364,-423.010656,-423.009712,-423.0526,33.099
16440,gdb_16441,CC12CC1C1CCC21,3.94535,1.8622,1.65999,0.286,78.02,-0.2264,0.0873,0.3136,886.9568,0.178236,-311.822022,-311.814901,-311.813957,-311.852754,29.255
128798,gdb_128799,COCc1[nH]nc(n1)N,6.67813,0.8106,0.73018,2.7143,71.91,-0.2069,0.027,0.2339,1523.0863,0.13743,-451.343569,-451.334555,-451.33361,-451.378344,31.84
16875,gdb_16876,O=C1CNC2CC2C1,4.11362,1.82278,1.39483,2.9841,67.91,-0.2215,-0.0088,0.2127,885.9743,0.14421,-363.865671,-363.85886,-363.857916,-363.896639,26.989
110575,gdb_110576,CC12C(CO)C3C1OC23,3.19699,1.33893,1.10699,2.5395,75.22,-0.2283,0.068,0.2963,1127.9299,0.15782,-422.927054,-422.918648,-422.917704,-422.959977,32.262
898,gdb_899,c1c(oc(=O)o1)O,7.22498,2.34498,1.77037,3.6671,40.61,-0.2319,0.0286,0.2605,618.2559,0.054586,-416.367317,-416.36152,-416.360576,-416.397228,20.117
98425,gdb_98426,COC(=O)C1(C)NC1C,2.59566,1.24754,0.99031,2.8727,77.27,-0.2492,0.0093,0.2586,1286.9094,0.16882,-440.29856,-440.288445,-440.2875,-440.333767,36.4
55958,gdb_55959,NC(=O)NC1CC=CC1,3.80142,0.92911,0.90291,3.3352,77.55,-0.2402,0.0214,0.2616,1363.3656,0.161048,-419.261648,-419.252864,-419.251919,-419.296587,32.978
50719,gdb_50720,N=C1COCCN1C=O,2.89024,1.41831,1.02214,4.3423,72.03,-0.2393,-0.0219,0.2174,1133.2607,0.137469,-455.161122,-455.153094,-455.15215,-455.194216,29.599
81349,gdb_81350,CC1C2CC1C(C)C2C,2.30788,1.40649,1.28255,0.0123,91.83,-0.276,0.0877,0.3638,1212.2817,0.230407,-352.355789,-352.346657,-352.345713,-352.388729,36.887
22017,gdb_22018,Cc1c(=NO)cnon1,2.51296,1.60798,0.9865,3.7255,72.78,-0.2387,-0.0689,0.1698,1108.4319,0.099309,-469.89848,-469.890507,-469.889563,-469.931063,29.56
105935,gdb_105936,OCC12C3C4NC1C4N23,3.75488,1.44952,1.35295,2.1144,70.03,-0.2277,0.0602,0.2879,979.2623,0.137975,-417.893786,-417.88691,-417.885966,-417.925299,27.519
29117,gdb_29118,OC1=COC(=O)C(=N)O1,3.12992,1.51092,1.02017,5.0383,60.73,-0.2329,-0.0658,0.1671,1042.2863,0.076367,-509.782632,-509.774929,-509.773985,-509.815476,27.734
38482,gdb_38483,C1C23CC4OC4C12CO3,3.39455,1.72129,1.59398,1.2735,69.64,-0.2249,0.054,0.2789,885.0257,0.137448,-421.751609,-421.745153,-421.744208,-421.782033,27.021
88502,gdb_88503,CN1CC1C1(CO1)C#N,2.3921,1.50842,1.16363,3.799,73.18,-0.2422,-0.0044,0.2379,1097.3467,0.134547,-417.954064,-417.945303,-417.944358,-417.987775,31.911
129257,gdb_129258,N=C1ON=C(C=C1)C#N,5.64149,1.07,0.89941,2.794,73.91,-0.2671,-0.1102,0.1569,1169.3214,0.078081,-431.652864,-431.645719,-431.644775,-431.684861,26.224
101846,gdb_101847,COC(C)CCN1CC1,3.35236,0.7102,0.63934,1.1733,87.42,-0.2254,0.0851,0.3105,1863.5585,0.215244,-405.509786,-405.498901,-405.497957,-405.547004,38.805
7134,gdb_7135,CCCC(=O)CCO,6.89158,0.72116,0.66617,1.0637,72.23,-0.2438,-0.0091,0.2346,1699.2082,0.17401,-386.163476,-386.153184,-386.15224,-386.200164,34.968
98943,gdb_98944,C#CC(=N)NC(=N)CO,4.29583,0.81498,0.68796,5.6333,77.42,-0.2549,-0.0529,0.2021,1544.5289,0.123249,-434.039615,-434.030214,-434.02927,-434.074442,33.835
77122,gdb_77123,OC1C(CC11CO1)C=O,3.11331,1.15615,0.98122,2.4671,69.9,-0.256,-0.0312,0.2249,1207.4103,0.133389,-458.931171,-458.922285,-458.921341,-458.965604,31.94
34187,gdb_34188,C#CC12CC3N=CN1C23,4.43733,1.40348,1.26973,1.6769,76.55,-0.2484,-0.0221,0.2263,975.9848,0.113468,-379.59028,-379.583544,-379.5826,-379.621179,27.256
35438,gdb_35439,C#CC12CC1OC2C#N,2.56632,1.41966,1.10773,4.0874,73.61,-0.2572,-0.0116,0.2456,1085.1994,0.099379,-399.475206,-399.467316,-399.466372,-399.507783,29.524
46365,gdb_46366,O=C1NCC1C1CCO1,3.39617,1.13963,0.89947,1.8516,72.79,-0.2433,0.0308,0.2741,1269.6715,0.148265,-439.084053,-439.075533,-439.074589,-439.118634,30.312
26913,gdb_26914,c1cc(=O)oc(c1N)O,3.10973,1.43781,0.98557,3.9008,71.31,-0.198,-0.0463,0.1517,1104.641,0.101131,-473.882231,-473.874262,-473.873317,-473.914619,29.98
59142,gdb_59143,CC(C)C1C2C3OC3C12,3.00111,1.21078,1.17725,1.787,81.46,-0.2272,0.0567,0.284,1197.9766,0.180988,-387.007887,-386.999091,-386.998146,-387.041994,34.16
79989,gdb_79990,CN1C2C=CC1(C)C2O,2.12564,1.75888,1.65396,2.0247,79.98,-0.1918,0.0164,0.2082,1000.1732,0.169295,-403.085205,-403.076349,-403.075405,-403.117759,34.934
55209,gdb_55210,C1C=CC(=O)N1C(=N)N,2.84339,1.60455,1.03505,3.816,73.11,-0.2247,-0.0508,0.174,1089.4235,0.12643,-434.128615,-434.12077,-434.119826,-434.161099,30.131
80745,gdb_80746,OC1C2OC(OC12)C#N,4.50377,1.1877,1.16934,2.2244,60.97,-0.2586,-0.0016,0.257,1036.0741,0.100547,-473.783925,-473.776383,-473.775438,-473.816316,27.826
97308,gdb_97309,CN=CN1CCCC1=O,3.23828,1.06361,0.82066,2.342,83.3,-0.2389,-0.0117,0.2272,1412.8875,0.160457,-419.265966,-419.257135,-419.256191,-419.299838,32.07
51258,gdb_51259,O=CCC1=CC2CN2C1,4.86029,0.90037,0.83171,2.9654,79.13,-0.2235,-0.0328,0.1907,1375.9641,0.147473,-401.935119,-401.926926,-401.925982,-401.969266,30.21
49668,gdb_49669,O=CC1C2CN=COC12,2.80301,1.3421,1.31098,3.246,69.7,-0.2508,-0.0305,0.2203,1036.2436,0.125453,-437.883332,-437.875835,-437.874891,-437.915788,27.889
2429,gdb_2430,CC12CC3CC1N23,5.45213,2.82377,2.40274,1.6544,63.69,-0.2367,0.0929,0.3297,625.3227,0.138325,-288.590006,-288.584129,-288.583185,-288.619206,23.365
87409,gdb_87410,CC1CC11C2C3CC1N23,3.39135,1.36715,1.29654,1.8172,82.36,-0.2286,0.0819,0.3105,1084.06,0.171986,-365.938107,-365.930449,-365.929505,-365.97002,30.785
120083,gdb_120084,OCCN1C2C3OC2C13,4.40232,1.06863,0.98736,2.7493,71.94,-0.2207,0.0648,0.2856,1217.0409,0.14641,-438.945752,-438.937845,-438.936901,-438.978603,30.318
113259,gdb_113260,CC1(CC=O)CC1CO,4.47118,0.71698,0.6844,2.9273,80.33,-0.2444,-0.021,0.2233,1664.8263,0.179254,-424.216942,-424.206375,-424.205431,-424.253369,37.501
41774,gdb_41775,C1OC2C=CCCC2=C1,3.1575,1.55242,1.15396,1.9007,83.24,-0.2254,0.0202,0.2456,1083.5675,0.161973,-385.909226,-385.901889,-385.900945,-385.941079,29.086
